measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Lesotho,Both,Age-standardized,Asthma,Rate,1990,921.2497824526833,1432.6120270903125,597.5830829466046
DALYs (Disability-Adjusted Life Years),Russian Federation,Both,Age-standardized,Asthma,Rate,2019,118.41490127202606,172.503956743366,81.2171464860895
DALYs (Disability-Adjusted Life Years),Kiribati,Both,Age-standardized,Asthma,Rate,1990,2630.8608997935503,3178.830791753068,2187.9610351839583
DALYs (Disability-Adjusted Life Years),Iceland,Both,Age-standardized,Asthma,Rate,2019,293.8055649717253,442.92319522721255,189.01675342782272
DALYs (Disability-Adjusted Life Years),Cyprus,Both,Age-standardized,Asthma,Rate,1990,406.7061247958253,558.3567117231181,289.0369181455287
DALYs (Disability-Adjusted Life Years),Congo,Both,Age-standardized,Asthma,Rate,1990,955.9685541071146,1382.2857409789694,702.9326605737067
DALYs (Disability-Adjusted Life Years),Slovakia,Both,Age-standardized,Asthma,Rate,1990,159.33823547173623,220.81696783551,115.97001460871047
DALYs (Disability-Adjusted Life Years),Bosnia and Herzegovina,Both,Age-standardized,Asthma,Rate,1990,226.53356106647388,317.2966344295987,158.65207129718559
DALYs (Disability-Adjusted Life Years),Bangladesh,Both,Age-standardized,Asthma,Rate,1990,870.6098659121085,1225.3678483220883,632.1464382805974
DALYs (Disability-Adjusted Life Years),Andorra,Both,Age-standardized,Asthma,Rate,2019,246.04658301140884,361.0985967655963,163.97446746103304
DALYs (Disability-Adjusted Life Years),Nigeria,Both,Age-standardized,Asthma,Rate,2019,375.79468710992853,460.2809981416877,297.43908346864384
DALYs (Disability-Adjusted Life Years),Cabo Verde,Both,Age-standardized,Asthma,Rate,2019,224.1720471332468,283.66250867069874,176.0026597816401
DALYs (Disability-Adjusted Life Years),Angola,Both,Age-standardized,Asthma,Rate,2019,449.89532258778087,600.9329537643379,338.18342342863576
DALYs (Disability-Adjusted Life Years),Malawi,Both,Age-standardized,Asthma,Rate,1990,644.9319767167725,791.1770093333705,482.10743935523107
DALYs (Disability-Adjusted Life Years),Italy,Both,Age-standardized,Asthma,Rate,1990,260.1338415259598,360.52084842615,185.03734235388302
DALYs (Disability-Adjusted Life Years),Poland,Both,Age-standardized,Asthma,Rate,2019,226.36188213921847,333.73359459252185,149.09172918746552
DALYs (Disability-Adjusted Life Years),Gabon,Both,Age-standardized,Asthma,Rate,1990,627.5914979675249,801.5499155998128,481.7225832086627
DALYs (Disability-Adjusted Life Years),Switzerland,Both,Age-standardized,Asthma,Rate,2019,268.5762438623378,399.0458636844777,172.02220810769757
DALYs (Disability-Adjusted Life Years),Cambodia,Both,Age-standardized,Asthma,Rate,2019,368.4057686951239,448.6733889312491,296.958704740583
DALYs (Disability-Adjusted Life Years),Nigeria,Both,Age-standardized,Asthma,Rate,1990,613.1773125368104,760.1122354814178,484.55794360657995
DALYs (Disability-Adjusted Life Years),Ireland,Both,Age-standardized,Asthma,Rate,2019,286.27746285005134,424.019575865565,190.4074021142799
DALYs (Disability-Adjusted Life Years),Argentina,Both,Age-standardized,Asthma,Rate,1990,352.4860044919457,482.7610786588485,252.88107112262375
DALYs (Disability-Adjusted Life Years),Trinidad and Tobago,Both,Age-standardized,Asthma,Rate,1990,405.7362229949602,493.56826699974295,339.1412351953881
DALYs (Disability-Adjusted Life Years),Slovenia,Both,Age-standardized,Asthma,Rate,1990,275.45278133972414,384.75002195452197,191.3329047118254
DALYs (Disability-Adjusted Life Years),Morocco,Both,Age-standardized,Asthma,Rate,2019,336.8968425183573,424.4889000730312,263.88254876374316
DALYs (Disability-Adjusted Life Years),Chad,Both,Age-standardized,Asthma,Rate,1990,852.886266510243,1100.22169329199,645.6023535063367
DALYs (Disability-Adjusted Life Years),American Samoa,Both,Age-standardized,Asthma,Rate,2019,334.72172403470944,423.50635589614654,265.1171512873444
DALYs (Disability-Adjusted Life Years),Armenia,Both,Age-standardized,Asthma,Rate,1990,127.14512303643754,167.8280900166326,94.5474416874381
DALYs (Disability-Adjusted Life Years),Kenya,Both,Age-standardized,Asthma,Rate,2019,347.84148383563456,523.644769654779,251.5900183538176
DALYs (Disability-Adjusted Life Years),Ukraine,Both,Age-standardized,Asthma,Rate,2019,138.8657838650533,208.949653946634,90.21008608799947
DALYs (Disability-Adjusted Life Years),Ukraine,Both,Age-standardized,Asthma,Rate,1990,227.61439429805054,318.4357581255174,157.8994504302137
DALYs (Disability-Adjusted Life Years),Jamaica,Both,Age-standardized,Asthma,Rate,2019,300.78115926450783,425.0174796018026,210.77398679163338
DALYs (Disability-Adjusted Life Years),Argentina,Both,Age-standardized,Asthma,Rate,2019,297.63333502961666,433.34789013680347,200.46711528515794
DALYs (Disability-Adjusted Life Years),Brunei Darussalam,Both,Age-standardized,Asthma,Rate,1990,681.4342499916503,818.0756721878946,534.1077141677166
DALYs (Disability-Adjusted Life Years),Suriname,Both,Age-standardized,Asthma,Rate,2019,291.66321635204116,401.6133344115847,209.97142459798823
DALYs (Disability-Adjusted Life Years),Mexico,Both,Age-standardized,Asthma,Rate,1990,285.39476951770376,358.2501594772301,232.43962869861625
DALYs (Disability-Adjusted Life Years),Viet Nam,Both,Age-standardized,Asthma,Rate,2019,282.27515947109157,357.8358316007397,183.45675250713617
